Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,home_odds,draw_odds,away_odds,over25_odds,under25_odds
E0,23/12/2023,15:00,Fulham,Burnley,0,2,A,0,0,D,R Welch,1.67,3.75,5.25,1.97,1.93
E0,23/12/2023,15:00,Luton,Newcastle,1,0,H,1,0,H,D England,4.75,4.2,1.65,1.87,2.03
E0,23/12/2023,15:00,Nott'm Forest,Bournemouth,2,3,A,0,0,D,R Jones,2.75,3.4,2.55,1.95,1.95
E0,23/12/2023,15:00,Tottenham,Everton,2,1,H,2,0,H,S Attwell,1.75,4.2,4,1.53,2.4
E0,23/12/2023,17:30,Liverpool,Arsenal,1,1,D,1,1,D,C Kavanagh,2.38,3.6,2.8,1.6,2.3
E0,24/12/2023,13:00,Wolves,Chelsea,2,1,H,0,0,D,D Coote,3.75,3.75,1.91,1.75,2.05
E0,26/12/2023,12:30,Newcastle,Nott'm Forest,1,3,A,1,1,D,C Kavanagh,1.5,4.33,5.75,1.62,2.25
E0,26/12/2023,15:00,Bournemouth,Fulham,3,0,H,1,0,H,T Robinson,2.15,3.6,3.2,1.65,2.2
E0,26/12/2023,15:00,Sheffield United,Luton,2,3,A,0,1,A,S Allison,2.3,3.3,3.1,2.15,1.67
E0,26/12/2023,17:30,Burnley,Liverpool,0,2,A,0,1,A,P Tierney,6.5,5.25,1.4,1.44,2.7
E0,26/12/2023,20:00,Man United,Aston Villa,3,2,H,0,2,A,C Pawson,2.6,3.5,2.6,1.57,2.35
E0,27/12/2023,19:30,Brentford,Wolves,1,4,A,1,3,A,A Madley,1.95,3.5,4.2,2.08,1.73
E0,27/12/2023,19:30,Chelsea,Crystal Palace,2,1,H,1,1,D,M Salisbury,1.67,4,5,1.99,1.91
E0,27/12/2023,20:15,Everton,Man City,1,3,A,1,0,H,J Brooks,5.75,4,1.57,1.95,1.95
E0,28/12/2023,19:30,Brighton,Tottenham,4,2,H,2,0,H,J Gillett,2.5,3.6,2.6,1.44,2.7
E0,28/12/2023,20:15,Arsenal,West Ham,0,2,A,0,1,A,M Oliver,1.33,5.5,7.5,1.57,2.35
E0,30/12/2023,12:30,Luton,Chelsea,2,3,A,0,2,A,P Tierney,6.5,4.2,1.5,1.57,2.35
E0,30/12/2023,15:00,Aston Villa,Burnley,3,2,H,2,1,H,S Attwell,1.36,5.25,7.5,1.5,2.5
E0,30/12/2023,15:00,Crystal Palace,Brentford,3,1,H,2,1,H,R Jones,2.2,3.3,3.4,2.3,1.6
E0,30/12/2023,15:00,Man City,Sheffield United,2,0,H,1,0,H,D Coote,1.08,11,29,1.3,3.5
E0,30/12/2023,15:00,Wolves,Everton,3,0,H,1,0,H,T Bramall,2.63,3.3,2.7,2.1,1.7
E0,30/12/2023,17:30,Nott'm Forest,Man United,2,1,H,0,0,D,T Robinson,3.2,3.6,2.15,1.73,2.08
E0,31/12/2023,14:00,Fulham,Arsenal,2,1,H,1,1,D,J Smith,5.25,4.5,1.55,1.85,2.05
